,Código IBGE do Município,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome das Grandes Regiões,Código IBGE da Mesoregião,Nome da Mesoregião,Código IBGE da Microregião,Nome da Microregião,Área da unidade territorial,Estabelecimentos de Saúde SUS,Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010),Matrícula - Ensino fundamental - 2012,Matrícula - Ensino médio - 2012,Número de unidades locais,Pessoal ocupado total,PIB per capita a preços correntes,População residente,População residente - Homens,População residente - Mulheres,População residente alfabetizada,População residente que frequentava creche ou escola,"População residente, religião católica apostólica romana","População residente, religião espírita","População residente, religião evangélicas",Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural,Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana,"Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural","Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana"
116,230870,23,CE,Nordeste,2305,Jaguaribe,23023,Baixo Jaguaribe,2779.246,32,0.61,10243,2586,666,5430,6169.23,62065,31143,30922,42085,18672,50327,34,7527,156,255.0,678.73,1174.11
117,230880,23,CE,Nordeste,2301,Noroeste Cearense,23003,Corea·,415.633,5,0.581,1480,423,51,652,4057.05,8070,4070,4000,5151,2688,7577,.,419,92.29,202.5,510.51,872.14
118,230890,23,CE,Nordeste,2301,Noroeste Cearense,23001,Litoral de Camocim e Acara·,415.556,7,0.588,3606,1174,287,1351,3883.06,20700,10440,10260,13534,7096,18735,.,1719,109,200.0,644.98,1024.49
119,230900,23,CE,Nordeste,2301,Noroeste Cearense,23005,Sobral,190.602,9,0.607,2582,788,139,1176,3800.69,14102,6699,7403,9565,4739,12649,6,1152,116.67,244.17,593.35,1063.68
120,230910,23,CE,Nordeste,2302,Norte Cearense,23013,BaturitÚ,134.568,6,0.607,1615,459,114,804,4598.26,11485,5842,5643,8224,3850,10288,35,1015,178,197.33,876.01,1194.38
121,230920,23,CE,Nordeste,2307,Sul Cearense,23032,Cariri,284.401,7,0.625,2282,679,201,1608,4571.27,14256,7020,7236,10216,4909,12677,.,1167,127.5,205.5,684.18,1125.62
122,230930,23,CE,Nordeste,2304,Sert§es Cearenses,23018,SertÒo de CratÚus,742.765,16,0.614,5226,1563,820,2768,4743.49,30965,15024,15941,20661,10454,26409,69,2862,170,255.0,722.16,1132.67
123,230940,23,CE,Nordeste,2304,Sert§es Cearenses,23018,SertÒo de CratÚus,949.394,12,0.605,4363,1285,338,1595,3776.75,27453,13549,13904,17579,8790,23025,.,3329,96.67,200.0,655.5,1081.29
124,230945,23,CE,Nordeste,2302,Norte Cearense,23014,Chorozinho,765.412,15,0.594,4110,1397,237,1198,3531.66,24007,12317,11690,16085,7597,21438,10,2167,133.33,232.5,662.41,1015.55
125,230950,23,CE,Nordeste,2306,Centro-Sul Cearense,23026,Iguatu,576.27,14,0.636,3224,812,284,1398,4968.85,21389,10421,10968,14333,5892,18387,13,2230,206,255.0,758.45,1055.1
126,230960,23,CE,Nordeste,2303,Metropolitana de Fortaleza,23017,Pacajus,254.479,18,0.659,11357,2642,895,9081,8319.43,61838,30370,31468,46700,20111,44528,28,12643,200,304.0,837.72,1352.79
